CL:0000137 osteocyte,UBERON:0001902 epithelium of small intestine,0,,
CL:0000137 osteocyte,UBERON:0002048 lung,0.000798793,,
CL:0000137 osteocyte,CL:0000084 T cell,0.0023918,,
CL:0000137 osteocyte,UBERON:0000922 embryo,0.032278946,,
CL:0000137 osteocyte,CL:2000042 embryonic fibroblast,0,,
CL:0000137 osteocyte,UBERON:0000955 brain,0.001740568,,
CL:0000137 osteocyte,UBERON:0000045 ganglion,0.000670975,,
CL:0000137 osteocyte,UBERON:0001954 Ammon's horn,0,,
CL:0000137 osteocyte,CL:0000057 fibroblast,0.024243176,,
CL:0000137 osteocyte,UBERON:0002038 substantia nigra,0,,
CL:0000137 osteocyte,UBERON:0000115 lung epithelium,0,,
CL:0000137 osteocyte,CL:0000163 endocrine cell,0.001007922,,
CL:0000137 osteocyte,UBERON:0002107 liver,0.003020634,,
CL:0000137 osteocyte,UBERON:0010743 meningeal cluster,0,,
CL:0000137 osteocyte,UBERON:0004129 growth plate cartilage,0.002718844,,
CL:0000137 osteocyte,CL:0002365 medullary thymic epithelial cell,0,,
CL:0000137 osteocyte,UBERON:0001885 dentate gyrus of hippocampal formation,0,,
CL:0000137 osteocyte,CL:0000127 astrocyte,0.00017462,,
CL:0000137 osteocyte,UBERON:0000007 pituitary gland,0.000165618,,
CL:0000137 osteocyte,UBERON:0000992 female gonad,0.000327247,,
CL:0000137 osteocyte,CL:0000081 blood cell,0.01124209,,
CL:0000137 osteocyte,CL:0008019 mesenchymal cell,0.043107811,,
CL:0000137 osteocyte,CL:0000423 tip cell,0,,
CL:0000137 osteocyte,CL:1000497 kidney cell,0.000390034,,
CL:0000137 osteocyte,CL:0001059 common myeloid progenitor, CD34-positive,0,
CL:0000137 osteocyte,CL:0000763 myeloid cell,0.0833428,,
CL:0000137 osteocyte,CL:0000353 blastoderm cell,0,,
CL:0000137 osteocyte,UBERON:0001782 pigmented layer of retina,0,,
CL:0000137 osteocyte,CL:0000192 smooth muscle cell,0.00192913,,
CL:0000137 osteocyte,CL:0000746 cardiac muscle cell,0.002054066,,
CL:0000137 osteocyte,CL:1000410 myocyte of atrioventricular node,0,,
CL:0002322 embryonic stem cell,CL:0002092 bone marrow cell,0.020047765,,
CL:0002322 embryonic stem cell,CL:0000451 dendritic cell,0.001637979,,
CL:0002322 embryonic stem cell,UBERON:0002435 striatum,0.000828187,,
CL:0002322 embryonic stem cell,CL:0000137 osteocyte,0.002924296,,
CL:0002322 embryonic stem cell,UBERON:0001851 cortex,0.007531712,,
CL:0002322 embryonic stem cell,UBERON:0001003 skin epidermis,0.001058048,,
CL:0002322 embryonic stem cell,UBERON:0000044 dorsal root ganglion,0.00130004,,
CL:0002322 embryonic stem cell,UBERON:0001898 hypothalamus,0.000971073,,
CL:0002322 embryonic stem cell,CL:0000988 hematopoietic cell,0.011722167,,
CL:0002322 embryonic stem cell,CL:0000540 neuron,0.052297898,,
CL:0002322 embryonic stem cell,CL:0002321 embryonic cell,0.05122926,,
CL:0002322 embryonic stem cell,CL:0000037 hematopoietic stem cell,0.018394678,,
CL:0002322 embryonic stem cell,CL:0000687 R1 photoreceptor cell,0.002681853,,
CL:0002322 embryonic stem cell,UBERON:0001891 midbrain,0.003536074,,
CL:0002322 embryonic stem cell,UBERON:0001997 olfactory epithelium,0.000350371,,
CL:0002322 embryonic stem cell,CL:0002034 long term hematopoietic stem cell,0,,
CL:0002322 embryonic stem cell,CL:0002033 short term hematopoietic stem cell,0,,
CL:0002322 embryonic stem cell,CL:0002319 neural cell,0.052297898,,
CL:0002322 embryonic stem cell,CL:0000235 macrophage,0.001910159,,
CL:0002322 embryonic stem cell,UBERON:0000966 retina,0.007695634,,
CL:0002322 embryonic stem cell,CL:0001056 dendritic cell, human,0.000850966,
CL:0002322 embryonic stem cell,UBERON:0001264 pancreas,0.012083906,,
CL:0002322 embryonic stem cell,UBERON:0000473 testis,0.004229517,,
CL:0002322 embryonic stem cell,CL:0000169 type B pancreatic cell,0.015574825,,
CL:0002322 embryonic stem cell,UBERON:0001902 epithelium of small intestine,0.000801388,,
CL:0002322 embryonic stem cell,UBERON:0002048 lung,0.002589139,,
CL:0002322 embryonic stem cell,CL:0000084 T cell,0.005012993,,
CL:0002322 embryonic stem cell,UBERON:0000922 embryo,0.156094265,,
CL:0002322 embryonic stem cell,CL:2000042 embryonic fibroblast,0.047305152,,
CL:0002322 embryonic stem cell,UBERON:0000955 brain,0.019770756,,
CL:0002322 embryonic stem cell,UBERON:0000045 ganglion,0.001258392,,
CL:0002322 embryonic stem cell,UBERON:0001954 Ammon's horn,0.002730656,,
CL:0002322 embryonic stem cell,CL:0000057 fibroblast,0.032898397,,
CL:0002322 embryonic stem cell,UBERON:0002038 substantia nigra,0.001205317,,
CL:0002322 embryonic stem cell,UBERON:0000115 lung epithelium,0.003312761,,
CL:0002322 embryonic stem cell,CL:0000163 endocrine cell,0.017528833,,
CL:0002322 embryonic stem cell,UBERON:0002107 liver,0.006705218,,
CL:0002322 embryonic stem cell,UBERON:0010743 meningeal cluster,0,,
CL:0002322 embryonic stem cell,UBERON:0004129 growth plate cartilage,0,,
CL:0002322 embryonic stem cell,CL:0002365 medullary thymic epithelial cell,0.006197521,,
CL:0002322 embryonic stem cell,UBERON:0001885 dentate gyrus of hippocampal formation,0,,
CL:0002322 embryonic stem cell,CL:0000127 astrocyte,0.006023783,,
CL:0002322 embryonic stem cell,UBERON:0000007 pituitary gland,0.000623764,,
CL:0002322 embryonic stem cell,UBERON:0000992 female gonad,0.004070222,,
CL:0002322 embryonic stem cell,CL:0000081 blood cell,0.012724308,,
CL:0002322 embryonic stem cell,CL:0008019 mesenchymal cell,0.02040554,,
CL:0002322 embryonic stem cell,CL:0000423 tip cell,0.002790195,,
